id,lat_wc,lon_wc,display_name_wc,zone_wc,lines_wc,rail_wc,name_wc,lon_tfl,lat_tfl,name_tfl,name,x_do,y_do,lat,lon,zone_do
117,51.4713,-0.4524,"Heathrow<br />Terminals<br />1, 2 & 3",6,1,0,"Heathrow Terminals 1, 2 & 3",-0.452439130961683,51.4712192100604,"Heathrow Terminals 1, 2, 3 Station",Heathrow Terminals 1 2 3,507587,175838,51.47128945567,-0.45239283063262,6
119,51.5829,-0.2259,Hendon<br />Central,3.5,1,0,Hendon Central,-0.226496207803293,51.583293830072,Hendon Central Station,Hendon Central,522959,188631,51.583133074092,-0.2267197095034,"3,4"
120,51.5033,-0.0215,Heron<br />Quays,2,1,0,Heron Quays,-0.021744064999688,51.5030679152992,Heron Quays Station,Heron Quays,537386,180127,51.503386571015,-0.021939126563571,2
121,51.6503,-0.1943,High<br />Barnet,5,1,0,High Barnet,-0.19475102194752,51.6506011705886,High Barnet Station,High Barnet,525027,196310,51.651688276705,-0.19415092780429,5
122,51.5009,-0.1925,High<br />Street<br />Kensington,1,2,0,High Street Kensington,-0.192503135590811,51.5006734202632,High Street Kensington Station,High Street Kensington,525622,179527,51.500729468384,-0.19155165303998,1
123,51.546,-0.104,Highbury &<br />Islington,2,1,1,Highbury & Islington,-0.103964238784979,51.5462294917379,Highbury & Islington Station,Highbury and Islington,531562,184770,51.546495518926,-0.10406772078143,2
124,51.5777,-0.1458,NULL,3,1,0,Highgate,-0.146638422561128,51.5775978296188,Highgate Station,Highgate,528503,188158,51.57764663481,-0.14692043327249,3
125,51.5538,-0.4499,NULL,6,2,0,Hillingdon,-0.449926295661859,51.5537168445709,Hillingdon Station,Hillingdon,507567,185015,51.55377757066,-0.44988357245777,6
126,51.5174,-0.12,NULL,1,2,0,Holborn,-0.120008849244825,51.517438783076,Holborn Station,Holborn,530553,181488,51.517235749261,-0.11982609759457,1
127,51.5075,-0.206,Holland<br />Park,2,1,0,Holland Park,-0.205728672749766,51.5073340431507,Holland Park Station,Holland Park,524564,180215,51.507146508744,-0.20654337129402,2
128,51.5526,-0.1132,Holloway<br />Road,2,1,0,Holloway Road,-0.112925632539152,51.5527505378786,Holloway Road Station,Holloway Road,530930,185457,51.55281611672,-0.11292127587712,2
330,,,,,,,,,,,Homerton,536108,184901,51.546595450822,-0.038497927971748,2
331,,,,,,,,,,,Honor Oak Park,536002,174221,51.450648245652,-0.044138732242293,3
129,51.5539,0.2184,NULL,6,1,0,Hornchurch,0.219018986707928,51.5540052560063,Hornchurch Station,Hornchurch,553931,186274,51.554355082156,0.21894141805997,6
130,51.4713,-0.3665,Hounslow<br />Central,4,1,0,Hounslow Central,-0.366922420319065,51.4710833003654,Hounslow Central Station,Hounslow Central,513592,175928,51.470925810282,-0.36594373417825,4
131,51.4733,-0.3564,Hounslow<br />East,4,1,0,Hounslow East,-0.35669531824492,51.4731706158332,Hounslow East Station,Hounslow East,514327,176254,51.473707937461,-0.35526092596841,4
132,51.4734,-0.3855,Hounslow<br />West,5,1,0,Hounslow West,-0.385731868407532,51.4730347989657,Hounslow West Station,Hounslow West,512215,176140,51.473105762632,-0.38569323300198,5
332,,,,,,,,,,,Hoxton,533582,183142,51.531391621283,-0.075571232880956,"1,2"
